Indicator ID,Name,Notes
ENF.CONT.COEN.ENFE.PR,Enforcing contracts: Enforcement fees (% of claim),"The enforcement fees are all costs that plaintiff must advance to enforce the judgment through a public sale of defendant’s movable assets, regardless of the final cost borne by plaintiff."
ENF.CONT.COEN.ENJU.DY,Enforcing contracts: Enforcement of judgment (days),The time for enforcement of judgment captures the time from the moment the time to appeal has elapsed until the money is recovered by the winning party.
ENF.CONT.COEN.FLSR.DY,Enforcing contracts: Filing and service (days),The time for filing and service captures the time from the moment plaintiff decides to sue until defendant is served.
ENF.CONT.COEN.PROC.NO,Enforcing contracts: Procedures (number),"The procedures to enforce contracts records the list of procedural steps compiled for each economy that traces the chronology of a commercial dispute before the relevant court. A procedure is defined as any interaction, required by law or commonly carried out in practice, between the parties or between them and the judge or court officer. The component indicator is computed based on the methodology in the DB04-15 studies."
ENF.CONT.COEN.PROC.NO.DFRN,Enforcing contracts: Procedures (number) - Score,"The score for procedures to enforce contracts benchmarks economies with respect to the regulatory best practice on the indicator. The score is indicated on a scale from 0 to 100, where 0 represents the worst regulatory performance and 100 the best regulatory performance, and is computed based on the methodology in the DB04-15 studies."
ENF.CONT.COEN.QUJP.DB16.DFRN,Enforcing contracts: Quality of the judicial processes index (0-19) (DB17-20 methodology) - Score,"The score for quality of judicial processes index benchmarks economies with respect to the regulatory best practice on the indicator. The score is indicated on a scale from 0 to 100, where 0 represents the worst regulatory performance and 100 the best regulatory performance, and is computed based on the methodology in the DB17-20 studies."
ENF.CONT.COEN.QUJP.XD,Enforcing contracts: Quality of the judicial processes index (0-18) (DB17-20 methodology),"The quality of judicial processes index is the sum of the court structure and proceedings, case management, court automation and alternative dispute resolution. The index is computed based on the methodology in the DB17-20 studies."
ENF.CONT.COEN.RK.DB19,Rank: Enforcing contracts (1=most business-friendly regulations),The ranking of economies on the ease of enforcing contracts is determined by sorting their scores for enforcing contracts.
ENF.CONT.COEN.TRJU.DY,Enforcing contracts: Trial and judgment (days),The time for trial and judgment captures the time from the moment defendant is served until the time to appeal has elapsed.
ENF.CONT.DURS.DY,Enforcing contracts: Time (days),"The time to enforce contracts is recorded in calendar days, counted from the moment plaintiff decides to file the lawsuit in court until payment. The average duration of the following three different stages of dispute resolution is recorded: (i) filing and service, (ii) trial and judgment, and (iii) enforcement."
ENF.CONT.DURS.DY.DFRN,Enforcing contracts: Time (days) - Score,"The score for time to enforce contracts benchmarks economies with respect to the regulatory best practice on the indicator. The score is indicated on a scale from 0 to 100, where 0 represents the worst regulatory performance and 100 the best regulatory performance."
IC.BUS.EASE.DFRN.DB1014,Global: Ease of doing business score (DB10-14 methodology),"The ease of doing business score is the simple average of the scores for each of the Doing Business topics: starting a business, dealing with construction permits, getting electricity, registering property, getting credit, protecting minority investors, paying taxes, trading across borders, enforcing contracts and resolving insolvency. The score is computed based on the methodology in the DB10-14 studies for topics that underwent methodology updates."
IC.BUS.EASE.DFRN.DB16,Global: Ease of doing business score (DB15 methodology),"The ease of doing business score is the simple average of the scores for each of the Doing Business topics: starting a business, dealing with construction permits, getting electricity, registering property, getting credit, protecting minority investors, paying taxes, trading across borders, enforcing contracts and resolving insolvency. The score is computed based on the methodology in the DB15 studies for topics that underwent methodology updates."
IC.BUS.EASE.DFRN.XQ.DB1719,Global: Ease of doing business score (DB17-20 methodology),"The ease of doing business score is the simple average of the scores for each of the Doing Business topics: starting a business, dealing with construction permits, getting electricity, registering property, getting credit, protecting minority investors, paying taxes, trading across borders, enforcing contracts and resolving insolvency. The score is computed based on the methodology in the DB17-20 studies for topics that underwent methodology updates."
IC.BUS.EASE.XQ,Ease of doing business rank (1=most business-friendly regulations),"Ease of doing business ranks economies from 1 to 190, with first place being the best. The ranking of economies is determined by sorting the aggregate ease of doing business scores. A high ranking (a low numerical rank) means that the regulatory environment is conducive to business operation."
IC.CNST.LIR.XD.02.DB1619,Dealing with construction permits: Liability and insurance regimes index (0-2) (DB16-20 methodology),The liability and insurance regimes index evaluates the stringency of latent defect liability and insurance regimes. It has two components: (i) whether any parties involved in the construction process are held legally liable for latent defects such as structural flaws or problems in the building once it is in use; (ii) whether any party involved in the construction process is legally required to obtain a latent defect liability or decennial (10 years) liability insurance policy to cover possible structural flaws or problems in the building once it is in use. The index is computed based on the methodology in the DB16-20 studies.
IC.CNST.PC.XD.04.DB1619,Dealing with construction permits: Professional certifications index (0-4) (DB16-20 methodology),The professional certifications index evaluates professional certi?cation requirements. It has two components: (i) the qualification requirements of the professional responsible for verifying that the architectural plans or drawings are in compliance with the building regulations; and (ii) the qualification requirements of the professional who conducts the technical inspections during construction. The index is computed based on the methodology in the DB16-20 studies.
IC.CNST.PRMT.BQCI.015.DB1619.DFRN,Dealing with construction permits: Building quality control index (0-15) (DB16-20 methodology) - Score,"The score for the building quality control index benchmarks economies with respect to the regulatory best practice on the indicator. The score ranges from 0 to 100, where 0 represents the worst regulatory performance and 100 the best regulatory performance, and is computed based on the methodology in the DB16-20 studies."
IC.CNST.PRMT.COST.WRH.VAL,Dealing with construction permits: Cost (% of Warehouse value),"The cost records all official costs associated with completing the procedures to legally build a warehouse, including the costs associated with obtaining land use approvals and preconstruction design clearances; receiving inspections before, during and after construction; obtaining utility connections; and registering the warehouse at the property registry. It is calculated as a percentage of the warehouse value. Nonrecurring taxes required for the completion of the warehouse project are also recorded. Sales taxes (such as value added tax) or capital gains taxes are not recorded. Nor are deposits that must be paid up front and are later refunded."
IC.CNST.PRMT.COST.WRH.VAL.DFRN,Dealing with construction permits: Cost (% of Warehouse value) - Score,"The score for cost benchmarks economies with respect to the regulatory best practice on the indicator. The score ranges from 0 to 100, where 0 represents the worst regulatory performance and 100 the best regulatory performance."
IC.CNST.PRMT.DFRN.DB0615,Dealing with construction permits (DB06-15 methodology) - Score,"The score for dealing with construction permits is the simple average of the scores for each of the component indicators: the procedures, time, cost to deal with construction permits, as well as the building quality control index that evaluate the quality of building regulations, the strength of quality control and safety mechanisms, liability and insurance regimes and professional certification requirements. The score is computed based on the methodology in the DB06-15 studies."
IC.CNST.PRMT.DFRN.DB1619,Dealing with construction permits (DB16-20 methodology) - Score,"The score for dealing with construction permits is the simple average of the scores for each of the component indicators: the procedures, time, cost to deal with construction permits, as well as the building quality control index that evaluate the quality of building regulations, the strength of quality control and safety mechanisms, liability and insurance regimes and professional certification requirements. The score is computed based on the methodology in the DB16-20 studies."
IC.CNST.PRMT.PROC.NO,Dealing with construction permits: Procedures (number),"The number of procedures records all interactions of the building company’s employees or any party acting on its behalf with external parties, including government agencies, notaries, the land registry, the cadastre, utility companies and public inspectors. Procedures that the company undergoes to connect the warehouse to water and sewerage are included. All procedures that are legally required and that are done in practice by a majority of companies  are counted, even if they may be avoided in exceptional cases."
IC.CNST.PRMT.PROC.NO.DFRN,Dealing with construction permits: Procedures (number) - Score,"The score for the number procedures benchmarks economies with respect to the regulatory best practice on the indicator. The score ranges from 0 to 100, where 0 represents the worst regulatory performance and 100 the best regulatory performance."
IC.CNST.PRMT.QBR.XD.02.DB1619,Dealing with construction permits: Quality of building regulations index (0-2) (DB16-20 methodology),The quality of building regulations index evaluates the accessibility and transparency of building regulations. It has two components: (i) whether building regulations are easily accessible; and (ii) whether the requirements for obtaining a building permit are clearly specified. The index is computed based on the methodology in the DB16-20 studies.
IC.CNST.PRMT.QCAC.XD.DB1619,Dealing with construction permits: Quality control after construction index (0-3) (DB16-20 methodology),The quality control after construction index evaluates quality control after the construction process. It has two components: (i) whether a final inspection is mandated by law to verify that the building was built in accordance with the approved plans and existing building regulations; and (ii) whether the final inspection is implemented in practice. The index is computed based on the methodology in the DB16-20 studies.
IC.CNST.PRMT.QCBC.XD.01.DB1619,Dealing with construction permits: Quality control before construction index (0-1) (DB16-20 methodology),"The quality control before construction index evaluates quality control in the review of the building plans. The index measures whether by law, a licensed architect or engineer is part of the committee or team that reviews and approves building permit applications and whether that person has the authority to refuse an application if the plans are not in conformity with regulations. The index is computed based on the methodology in the DB16-20 studies."
IC.CNST.PRMT.QCDC.XD.03.DB1619,Dealing with construction permits: Quality control during construction index (0-3) (DB16-20 methodology),The quality control during construction index evaluates quality control during the construction process. It has two components: (i) whether inspections are mandated by law during the construction process; (ii) whether inspections during construction are implemented in practice. The index is computed based on the methodology in the DB16-20 studies.
IC.CNST.PRMT.RK,Rank: Dealing with construction permits (1=most business-friendly regulations),The ranking of economies on the ease of dealing with construction permits is determined by sorting their scores for dealing with construction permits.
IC.CNST.PRMT.TM.DY,Dealing with construction permits: Time (days),"The time captures the median duration that local experts indicate is necessary to complete a procedure in practice. It is calculated in calendar days. The time estimates of all procedures are added to calculate the total time required to complete each procedure, taking into account simultaneity of processes. It is assumed that the minimum time required for each procedure is one day, except for procedures that can be fully completed online, for which the time required is recorded as half a day."
IC.CNST.PRMT.TM.DY.DFRN,Dealing with construction permits: Time (days)  - Score,"The score for time benchmarks economies with respect to the regulatory best practice on the indicator. The score ranges from 0 to 100, where 0 represents the worst regulatory performance and 100 the best regulatory performance."
IC.CRED.ACC.ACES.DB0514,Getting Credit total score (DB05-14 methodology),"The total score for getting credit is the sum of the strength of legal rights index and the depth of credit information index, based on the methodology in the DB05-14 studies."
IC.CRED.ACC.ACES.DB1519,Getting Credit total score (DB15-20 methodology),"The total score for getting credit is the sum of the strength of legal rights index and the depth of credit information index, based on the methodology in the DB15-20 studies."
IC.CRED.ACC.CRD.DB0514.DFRN,Getting credit (DB05-14 methodology) - Score,"The score for getting credit benchmarks economies with respect to the regulatory best practice on the indicator set. The score is indicated on a scale from 0 to 100, where 0 represents the worst regulatory performance and 100 the best regulatory performance, and is computed based on the methodology in the DB05-14 studies."
IC.CRED.ACC.CRD.DB1519.DFRN,Getting credit (DB15-20 methodology) - Score,"The score for getting credit benchmarks economies with respect to the regulatory best practice on the indicator set. The score is indicated on a scale from 0 to 100, where 0 represents the worst regulatory performance and 100 the best regulatory performance, and is computed based on the methodology in the DB15-20 studies."
IC.CRED.ACC.CRD.RK,Rank: Getting credit (1=most business-friendly regulations),The ranking of economies on the ease of getting credit is determined by sorting their scores for getting credit.
IC.CRED.ACC.DPTH.CISI.XD.06.DB0514,Getting credit: Depth of credit information index (0-6) (DB05-14 methodology),"The depth of credit information index measures the coverage, scope and accessibility of credit information available through credit reporting service providers such as credit bureaus or credit registries. The index ranges from 0 to 8 based on the methodology in the DB05-14 studies."
IC.CRED.ACC.DPTH.CISI.XD.06.DB0514.DFRN,Getting credit: Depth of credit information index (0-6) (DB05-14 methodology) - Score,"The score for the depth of credit information benchmarks economies with respect to the regulatory best practice on the indicator. The score is indicated on a scale from 0 to 100, where 0 represents the worst regulatory performance and 100 the best regulatory performance, and is computed based on the methodology in the DB05-14 studies."
IC.CRED.ACC.DPTH.CISI.XD.08.DB1519,Getting credit: Depth of credit information index (0-8) (DB15-20 methodology),"The depth of credit information index measures the coverage, scope and accessibility of credit information available through credit reporting service providers such as credit bureaus or credit registries. The index ranges from 0 to 8 based on the methodology in the DB15-20 studies."
IC.CRED.ACC.DPTH.CISI.XD.08.DB1519.DFRN,Getting credit: Depth of credit information index (0-8) (DB15-20 methodology) - Score,"The score for the depth of credit information benchmarks economies with respect to the regulatory best practice on the indicator. The score is indicated on a scale from 0 to 100, where 0 represents the worst regulatory performance and 100 the best regulatory performance, and is computed based on the methodology in the DB15-20 studies."
AG.CON.FERT.PT.ZS,Fertilizer consumption (% of fertilizer production),"Fertilizer consumption measures the quantity of plant nutrients used per unit of arable land. Fertilizer products cover nitrogenous, potash, and phosphate fertilizers (including ground rock phosphate). Traditional nutrients--animal and plant manures--are not included. For the purpose of data dissemination, FAO has adopted the concept of a calendar year (January to December). Some countries compile fertilizer data on a calendar year basis, while others are on a split-year basis."
AG.CON.FERT.ZS,Fertilizer consumption (kilograms per hectare of arable land),"Fertilizer consumption measures the quantity of plant nutrients used per unit of arable land. Fertilizer products cover nitrogenous, potash, and phosphate fertilizers (including ground rock phosphate). Traditional nutrients--animal and plant manures--are not included. For the purpose of data dissemination, FAO has adopted the concept of a calendar year (January to December). Some countries compile fertilizer data on a calendar year basis, while others are on a split-year basis. Arable land includes land defined by the FAO as land under temporary crops (double-cropped areas are counted once), temporary meadows for mowing or for pasture, land under market or kitchen gardens, and land temporarily fallow. Land abandoned as a result of shifting cultivation is excluded."
AG.LND.AGRI.K2,Agricultural land (sq. km),"Agricultural land refers to the share of land area that is arable, under permanent crops, and under permanent pastures. Arable land includes land defined by the FAO as land under temporary crops (double-cropped areas are counted once), temporary meadows for mowing or for pasture, land under market or kitchen gardens, and land temporarily fallow. Land abandoned as a result of shifting cultivation is excluded. Land under permanent crops is land cultivated with crops that occupy the land for long periods and need not be replanted after each harvest, such as cocoa, coffee, and rubber. This category includes land under flowering shrubs, fruit trees, nut trees, and vines, but excludes land under trees grown for wood or timber. Permanent pasture is land used for five or more years for forage, including natural and cultivated crops."
AG.LND.AGRI.ZS,Agricultural land (% of land area),"Agricultural land refers to the share of land area that is arable, under permanent crops, and under permanent pastures. Arable land includes land defined by the FAO as land under temporary crops (double-cropped areas are counted once), temporary meadows for mowing or for pasture, land under market or kitchen gardens, and land temporarily fallow. Land abandoned as a result of shifting cultivation is excluded. Land under permanent crops is land cultivated with crops that occupy the land for long periods and need not be replanted after each harvest, such as cocoa, coffee, and rubber. This category includes land under flowering shrubs, fruit trees, nut trees, and vines, but excludes land under trees grown for wood or timber. Permanent pasture is land used for five or more years for forage, including natural and cultivated crops."
AG.LND.ARBL.HA,Arable land (hectares),"Arable land (in hectares) includes land defined by the FAO as land under temporary crops (double-cropped areas are counted once), temporary meadows for mowing or for pasture, land under market or kitchen gardens, and land temporarily fallow. Land abandoned as a result of shifting cultivation is excluded."
AG.LND.ARBL.HA.PC,Arable land (hectares per person),"Arable land (hectares per person) includes land defined by the FAO as land under temporary crops (double-cropped areas are counted once), temporary meadows for mowing or for pasture, land under market or kitchen gardens, and land temporarily fallow. Land abandoned as a result of shifting cultivation is excluded."
AG.LND.ARBL.ZS,Arable land (% of land area),"Arable land includes land defined by the FAO as land under temporary crops (double-cropped areas are counted once), temporary meadows for mowing or for pasture, land under market or kitchen gardens, and land temporarily fallow. Land abandoned as a result of shifting cultivation is excluded."
AG.LND.CREL.HA,Land under cereal production (hectares),"Land under cereal production refers to harvested area, although some countries report only sown or cultivated area. Cereals include wheat, rice, maize, barley, oats, rye, millet, sorghum, buckwheat, and mixed grains. Production data on cereals relate to crops harvested for dry grain only. Cereal crops harvested for hay or harvested green for food, feed, or silage and those used for grazing are excluded."
AG.LND.CROP.ZS,Permanent cropland (% of land area),"Permanent cropland is land cultivated with crops that occupy the land for long periods and need not be replanted after each harvest, such as cocoa, coffee, and rubber. This category includes land under flowering shrubs, fruit trees, nut trees, and vines, but excludes land under trees grown for wood or timber."
AG.LND.EL5M.RU.K2,Rural land area where elevation is below 5 meters (sq. km),Rural land area below 5m is the total rural land area in square kilometers where the elevation is 5 meters or less.
AG.LND.EL5M.RU.ZS,Rural land area where elevation is below 5 meters (% of total land area),Rural land area below 5m is the percentage of total land where the rural land elevation is 5 meters or less.
AG.LND.EL5M.UR.K2,Urban land area where elevation is below 5 meters (sq. km),Urban land area below 5m is the total urban land area in square kilometers where the elevation is 5 meters or less.
AG.LND.EL5M.UR.ZS,Urban land area where elevation is below 5 meters (% of total land area),Urban land area below 5m is the percentage of total land where the urban land elevation is 5 meters or less.
AG.LND.EL5M.ZS,Land area where elevation is below 5 meters (% of total land area),Land area below 5m is the percentage of total land where the elevation is 5 meters or less.
AG.LND.FRST.K2,Forest area (sq. km),"Forest area is land under natural or planted stands of trees of at least 5 meters in situ, whether productive or not, and excludes tree stands in agricultural production systems (for example, in fruit plantations and agroforestry systems) and trees in urban parks and gardens."
AG.LND.FRST.ZS,Forest area (% of land area),"Forest area is land under natural or planted stands of trees of at least 5 meters in situ, whether productive or not, and excludes tree stands in agricultural production systems (for example, in fruit plantations and agroforestry systems) and trees in urban parks and gardens."
AG.LND.IRIG.AG.ZS,Agricultural irrigated land (% of total agricultural land),"Agricultural irrigated land refers to agricultural areas purposely provided with water, including land irrigated by controlled flooding."
AG.LND.PRCP.MM,Average precipitation in depth (mm per year),Average precipitation is the long-term average in depth (over space and time) of annual precipitation in the country. Precipitation is defined as any kind of water that falls from clouds as a liquid or a solid.
AG.LND.TOTL.K2,Land area (sq. km),"Land area is a country's total area, excluding area under inland water bodies, national claims to continental shelf, and exclusive economic zones. In most cases the definition of inland water bodies includes major rivers and lakes."
AG.LND.TOTL.RU.K2,Rural land area (sq. km),"Rural land area in square kilometers, derived from urban extent grids which distinguish urban and rural areas based on a combination of population counts (persons), settlement points, and the presence of Nighttime Lights. Areas are defined as urban where contiguous lighted cells from the Nighttime Lights or approximated urban extents based on buffered settlement points for which the total population is greater than 5,000 persons."
AG.LND.TOTL.UR.K2,Urban land area (sq. km),"Urban land area in square kilometers, based on a combination of population counts (persons), settlement points, and the presence of Nighttime Lights. Areas are defined as urban where contiguous lighted cells from the Nighttime Lights or approximated urban extents based on buffered settlement points for which the total population is greater than 5,000 persons."
AG.PRD.CREL.MT,Cereal production (metric tons),"Production data on cereals relate to crops harvested for dry grain only. Cereal crops harvested for hay or harvested green for food, feed, or silage and those used for grazing are excluded."
AG.PRD.CROP.XD,Crop production index (2014-2016 = 100),"Crop production index shows agricultural production for each year relative to the base period 2014-2016. It includes all crops except fodder crops. Regional and income group aggregates for the FAO's production indexes are calculated from the underlying values in international dollars, normalized to the base period 2014-2016."
AG.PRD.FOOD.XD,Food production index (2014-2016 = 100),"Food production index covers food crops that are considered edible and that contain nutrients. Coffee and tea are excluded because, although edible, they have no nutritive value."
AG.PRD.LVSK.XD,Livestock production index (2014-2016 = 100),"Livestock production index includes meat and milk from all sources, dairy products such as cheese, and eggs, honey, raw silk, wool, and hides and skins."
AG.SRF.TOTL.K2,Surface area (sq. km),"Surface area is a country's total area, including areas under inland bodies of water and some coastal waterways."
AG.YLD.CREL.KG,Cereal yield (kg per hectare),"Cereal yield, measured as kilograms per hectare of harvested land, includes wheat, rice, maize, barley, oats, rye, millet, sorghum, buckwheat, and mixed grains. Production data on cereals relate to crops harvested for dry grain only. Cereal crops harvested for hay or harvested green for food, feed, or silage and those used for grazing are excluded. The FAO allocates production data to the calendar year in which the bulk of the harvest took place. Most of a crop harvested near the end of a year will be used in the following year."
BG.GSR.NFSV.GD.ZS,Trade in services (% of GDP),"Trade in services is the sum of service exports and imports divided by the value of GDP, all in current U.S. dollars."
BM.GSR.CMCP.ZS,"Communications, computer, etc. (% of service imports, BoP)","Communications, computer, information, and other services cover international telecommunications; computer data; news-related service transactions between residents and nonresidents; construction services; royalties and license fees; miscellaneous business, professional, and technical services; personal, cultural, and recreational services; manufacturing services on physical inputs owned by others; and maintenance and repair services and government services not included elsewhere."
BM.GSR.FCTY.CD,"Primary income payments (BoP, current US$)","Primary income payments refer to employee compensation paid to nonresident workers and investment income (payments on direct investment, portfolio investment, other investments). Data are in current U.S. dollars."
BM.GSR.GNFS.CD,"Imports of goods and services (BoP, current US$)","Imports of goods and services comprise all transactions between residents of a country and the rest of the world involving a change of ownership from nonresidents to residents of general merchandise, nonmonetary gold, and services. Data are in current U.S. dollars."
BM.GSR.INSF.ZS,"Insurance and financial services (% of service imports, BoP)","Insurance and financial services cover various types of insurance provided to nonresidents by resident insurance enterprises and vice versa, and financial intermediary and auxiliary services (except those of insurance enterprises and pension funds) exchanged between residents and nonresidents."
BM.GSR.MRCH.CD,"Goods imports (BoP, current US$)",Goods imports refer to all movable goods (including nonmonetary gold) involved in a change of ownership from nonresidents to residents. Data are in current U.S. dollars.
BM.GSR.NFSV.CD,"Service imports (BoP, current US$)","Services refer to economic output of intangible commodities that may be produced, transferred, and consumed at the same time. Data are in current U.S. dollars."
BM.GSR.ROYL.CD,"Charges for the use of intellectual property, payments (BoP, current US$)","Charges for the use of intellectual property are payments and receipts between residents and nonresidents for the authorized use of proprietary rights (such as patents, trademarks, copyrights, industrial processes and designs including trade secrets, and franchises) and for the use, through licensing agreements, of produced originals or prototypes (such as copyrights on books and manuscripts, computer software, cinematographic works, and sound recordings) and related rights (such as for live performances and television, cable, or satellite broadcast). Data are in current U.S. dollars."
BM.GSR.TOTL.CD,"Imports of goods, services and primary income (BoP, current US$)","Imports of goods, services and primary income is the sum of goods imports, service imports and primary income payments. Data are in current U.S. dollars."
BM.GSR.TRAN.ZS,"Transport services (% of service imports, BoP)","Transport covers all transport services (sea, air, land, internal waterway, pipeline, space and electricity transmission) performed by residents of one economy for those of another and involving the carriage of passengers, the movement of goods (freight), rental of carriers with crew, and related support and auxiliary services. Also included are postal and courier services. Excluded are freight insurance (included in insurance services); goods procured in ports by nonresident carriers (included in goods); maintenance and repairs on transport equipment (included in maintenance and repair services n.i.e.); and repairs of railway facilities, harbors, and airfield facilities (included in construction)."
BM.GSR.TRVL.ZS,"Travel services (% of service imports, BoP)","Travel covers goods and services acquired from an economy by travelers for their own use during visits of less than one year in that economy for either business or personal purposes. Travel includes local transport (i.e., transport within the economy being visited and provided by a resident of that economy), but excludes international transport (which is included in passenger transport. Travel also excludes goods for resale, which are included in general merchandise."
BM.KLT.DINV.CD.WD,"Foreign direct investment, net outflows (BoP, current US$)","Foreign direct investment refers to direct investment equity flows in an economy. It is the sum of equity capital, reinvestment of earnings, and other capital. Direct investment is a category of cross-border investment associated with a resident in one economy having control or a significant degree of influence on the management of an enterprise that is resident in another economy. Ownership of 10 percent or more of the ordinary shares of voting stock is the criterion for determining the existence of a direct investment relationship. This series shows net outflows of investment from the reporting economy to the rest of the world. Data are in current U.S. dollars."
BM.KLT.DINV.WD.GD.ZS,"Foreign direct investment, net outflows (% of GDP)","Foreign direct investment refers to direct investment equity flows in an economy. It is the sum of equity capital, reinvestment of earnings, and other capital. Direct investment is a category of cross-border investment associated with a resident in one economy having control or a significant degree of influence on the management of an enterprise that is resident in another economy. Ownership of 10 percent or more of the ordinary shares of voting stock is the criterion for determining the existence of a direct investment relationship. This series shows net outflows of investment from the reporting economy to the rest of the world, and is divided by GDP."
BM.TRF.PRVT.CD,"Secondary income, other sectors, payments (BoP, current US$)","Secondary income refers to transfers recorded in the balance of payments whenever an economy provides or receives goods, services, income, or financial items without a quid pro quo. All transfers not considered to be capital are current. Data are in current U.S. dollars."
BM.TRF.PWKR.CD.DT,"Personal remittances, paid (current US$)","Personal remittances comprise personal transfers and compensation of employees. Personal transfers consist of all current transfers in cash or in kind made or received by resident households to or from nonresident households. Personal transfers thus include all current transfers between resident and nonresident individuals. Compensation of employees refers to the income of border, seasonal, and other short-term workers who are employed in an economy where they are not resident and of residents employed by nonresident entities. Data are the sum of two items defined in the sixth edition of the IMF's Balance of Payments Manual: personal transfers and compensation of employees. Data are in current U.S. dollars."
BN.CAB.XOKA.CD,"Current account balance (BoP, current US$)","Current account balance is the sum of net exports of goods and services, net primary income, and net secondary income. Data are in current U.S. dollars."
BN.CAB.XOKA.GD.ZS,Current account balance (% of GDP),"Current account balance is the sum of net exports of goods and services, net primary income, and net secondary income."
BN.FIN.TOTL.CD,"Net financial account (BoP, current US$)","The net financial account shows net acquisition and disposal of financial assets and liabilities. It measures how net lending to or borrowing from nonresidents is financed, and is conceptually equal to the sum of the balances on the current and capital accounts. Data are in current U.S. dollars."
BN.GSR.FCTY.CD,"Net primary income (BoP, current US$)","Net primary income refers to receipts and payments of employee compensation paid to nonresident workers and investment income (receipts and payments on direct investment, portfolio investment, other investments, and receipts on reserve assets). Data are in current U.S. dollars."
BN.GSR.GNFS.CD,"Net trade in goods and services (BoP, current US$)",Net trade in goods and services is derived by offsetting imports of goods and services against exports of goods and services. Exports and imports of goods and services comprise all transactions involving a change of ownership of goods and services between residents of one country and the rest of the world. Data are in current U.S. dollars.
BN.GSR.MRCH.CD,"Net trade in goods (BoP, current US$)",Net trade in goods is the difference between exports and imports of goods. Trade in services is not included. Data are in current U.S. dollars.
BN.KAC.EOMS.CD,"Net errors and omissions (BoP, current US$)",Net errors and omissions constitute a residual category needed to ensure that accounts in the balance of payments statement sum to zero. Net errors and omissions are derived as the balance on the financial account minus the balances on the current and capital accounts. Data are in current U.S. dollars.
BN.KLT.DINV.CD,"Foreign direct investment, net (BoP, current US$)","Foreign direct investment are the net inflows of investment to acquire a lasting management interest (10 percent or more of voting stock) in an enterprise operating in an economy other than that of the investor. It is the sum of equity capital, reinvestment of earnings, other long-term capital, and short-term capital as shown in the balance of payments. This series shows total net FDI. In BPM6, financial account balances are calculated as the change in assets minus the change in liabilities. Net FDI outflows are assets and net FDI inflows are liabilities. Data are in current U.S. dollars."
